,game,arena,stage,agent,human_data_type,alpha,Configuration,TV
12,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,intermediate,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Only Connect Weight,0.42833051419218643
13,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,intermediate,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 0.0}",should,0.5,Only Center Weight,0.5815840776549793
14,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,late,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,All Components,0.5419226460727111
15,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,late,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,Ablate Center Weight,0.5419202986407803
16,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,late,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Ablate Connect Weight,0.5419095705337191
17,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,late,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Ablate Block Weight,0.5006981269546075
18,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,late,"{'center_weight': 0.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Only Block Weight,0.5419102998305463
19,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,late,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Only Connect Weight,0.5022673805466907
20,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JN6YKMXAGXM4Y2XDFFR6V486,late,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 0.0}",should,0.5,Only Center Weight,0.5559088929175876
21,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,early,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,All Components,0.40101248459926864
22,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,early,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,Ablate Center Weight,0.4008826215649632
23,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,early,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Ablate Connect Weight,0.5650462518823316
24,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,early,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Ablate Block Weight,0.4497796775261456
25,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,early,"{'center_weight': 0.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Only Block Weight,0.5395003891900362
26,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,early,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Only Connect Weight,0.4613193598395572
27,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,early,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 0.0}",should,0.5,Only Center Weight,0.6521309756555063
28,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,intermediate,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,All Components,0.4029015674707708
29,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,intermediate,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,Ablate Center Weight,0.4011047148555013
30,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,intermediate,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Ablate Connect Weight,0.5930771139021265
31,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,intermediate,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Ablate Block Weight,0.377419433910299
32,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,intermediate,"{'center_weight': 0.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Only Block Weight,0.5972471346196145
33,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,intermediate,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Only Connect Weight,0.3631376052607536
34,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,intermediate,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 0.0}",should,0.5,Only Center Weight,0.553398154587401
35,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,late,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,All Components,0.5123330150695986
36,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,late,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,Ablate Center Weight,0.5026721215344345
37,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,late,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Ablate Connect Weight,0.3183173073624528
38,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,late,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Ablate Block Weight,0.45856400319735646
39,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,late,"{'center_weight': 0.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Only Block Weight,0.3125001479982632
40,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,late,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Only Connect Weight,0.46037492866865487
41,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,late,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 0.0}",should,0.5,Only Center Weight,0.4478430955509477
42,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,early,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,All Components,0.4534420790146891
43,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,early,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,Ablate Center Weight,0.4720032651084587
44,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,early,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Ablate Connect Weight,0.6858421910825083
45,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,early,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Ablate Block Weight,0.47306100336579526
46,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,early,"{'center_weight': 0.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Only Block Weight,0.6832064636610597
47,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,early,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Only Connect Weight,0.48739239070568197
48,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,early,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 0.0}",should,0.5,Only Center Weight,0.717048165200877
49,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,intermediate,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,All Components,0.5712478384068944
50,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,intermediate,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,Ablate Center Weight,0.5784599885301533
51,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,intermediate,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Ablate Connect Weight,0.44534015200412425
52,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,intermediate,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Ablate Block Weight,0.5746896859748735
53,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,intermediate,"{'center_weight': 0.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Only Block Weight,0.44545539212838675
54,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,intermediate,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Only Connect Weight,0.5923755504518412
55,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,intermediate,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 0.0}",should,0.5,Only Center Weight,0.6319790838418773
56,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,late,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,All Components,0.5662592022398424
57,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,late,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,Ablate Center Weight,0.5635068733506765
58,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,late,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Ablate Connect Weight,0.6469685024676245
59,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,late,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Ablate Block Weight,0.301924374049146
60,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,late,"{'center_weight': 0.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Only Block Weight,0.6465957181468105
61,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,late,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Only Connect Weight,0.31595000390206096
62,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,late,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 0.0}",should,0.5,Only Center Weight,0.6390790344208006
63,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,early,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,All Components,0.40175247668630265
64,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,early,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,Ablate Center Weight,0.4242993195560287
65,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,early,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Ablate Connect Weight,0.7029330203732564
66,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,early,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Ablate Block Weight,0.34582791798786433
67,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,early,"{'center_weight': 0.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Only Block Weight,0.7087346633728313
68,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,early,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Only Connect Weight,0.36905826672847264
69,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,early,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 0.0}",should,0.5,Only Center Weight,0.6297054342995206
70,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,intermediate,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,All Components,0.469645953752054
71,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,intermediate,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,Ablate Center Weight,0.469696267500201
72,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,intermediate,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Ablate Connect Weight,0.46980892511943906
73,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,intermediate,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Ablate Block Weight,0.5190987989966446
74,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,intermediate,"{'center_weight': 0.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Only Block Weight,0.46981034859077786
75,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,intermediate,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Only Connect Weight,0.5174056184699762
76,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,intermediate,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 0.0}",should,0.5,Only Center Weight,0.49015452297386974
77,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,late,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,All Components,0.4926531776708734
78,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,late,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,Ablate Center Weight,0.4888342036115476
79,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,late,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Ablate Connect Weight,0.4126966497676592
80,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,late,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Ablate Block Weight,0.38216429654201556
81,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,late,"{'center_weight': 0.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Only Block Weight,0.43105219519236854
82,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,late,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Only Connect Weight,0.38068712030079915
83,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,late,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 0.0}",should,0.5,Only Center Weight,0.45973604960998476
84,3.0*3.0*3 pieces in a row wins.,01JNM84H10EVHYQFQXGR8GXKBX,early,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,All Components,0.21199790295046458
85,3.0*3.0*3 pieces in a row wins.,01JNM84H10EVHYQFQXGR8GXKBX,early,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,Ablate Center Weight,0.1899454812476106
86,3.0*3.0*3 pieces in a row wins.,01JNM84H10EVHYQFQXGR8GXKBX,early,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Ablate Connect Weight,0.1396941313777799
87,3.0*3.0*3 pieces in a row wins.,01JNM84H10EVHYQFQXGR8GXKBX,early,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Ablate Block Weight,0.5599225141372884
88,3.0*3.0*3 pieces in a row wins.,01JNM84H10EVHYQFQXGR8GXKBX,early,"{'center_weight': 0.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Only Block Weight,0.13765235673403853
89,3.0*3.0*3 pieces in a row wins.,01JNM84H10EVHYQFQXGR8GXKBX,early,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Only Connect Weight,0.5582771445133459
90,3.0*3.0*3 pieces in a row wins.,01JNM84H10EVHYQFQXGR8GXKBX,early,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 0.0}",should,0.5,Only Center Weight,0.49533759961248075
91,3.0*3.0*3 pieces in a row wins.,01JNM84H10EVHYQFQXGR8GXKBX,intermediate,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,All Components,0.1303244650508049
92,3.0*3.0*3 pieces in a row wins.,01JNM84H10EVHYQFQXGR8GXKBX,intermediate,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,Ablate Center Weight,0.13031830371508346
93,3.0*3.0*3 pieces in a row wins.,01JNM84H10EVHYQFQXGR8GXKBX,intermediate,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Ablate Connect Weight,0.03405522315030653
94,3.0*3.0*3 pieces in a row wins.,01JNM84H10EVHYQFQXGR8GXKBX,intermediate,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Ablate Block Weight,0.49545534785603335
95,3.0*3.0*3 pieces in a row wins.,01JNM84H10EVHYQFQXGR8GXKBX,intermediate,"{'center_weight': 0.0, 'connect_weight': 0.0, 'block_weight': 1.0}",should,0.5,Only Block Weight,0.034055035664465716
96,3.0*3.0*3 pieces in a row wins.,01JNM84H10EVHYQFQXGR8GXKBX,intermediate,"{'center_weight': 0.0, 'connect_weight': 1.0, 'block_weight': 0.0}",should,0.5,Only Connect Weight,0.49548583230458587
97,3.0*3.0*3 pieces in a row wins.,01JNM84H10EVHYQFQXGR8GXKBX,intermediate,"{'center_weight': 1.0, 'connect_weight': 0.0, 'block_weight': 0.0}",should,0.5,Only Center Weight,0.372533702683458
98,3.0*3.0*3 pieces in a row wins.,01JNM84H10EVHYQFQXGR8GXKBX,late,"{'center_weight': 1.0, 'connect_weight': 1.0, 'block_weight': 1.0}",should,0.5,All Components,0.016800554302979012
